Series ID,year,period,label,value
LNS13000060,2015,M12,2015 Dec,4401
LNS13000060,2016,M01,2016 Jan,4282
LNS13000060,2016,M02,2016 Feb,4196
LNS13000060,2016,M03,2016 Mar,4311
LNS13000060,2016,M04,2016 Apr,4383
LNS13000060,2016,M05,2016 May,4145
LNS13000060,2016,M06,2016 Jun,4253
LNS13000060,2016,M07,2016 Jul,4108
LNS13000060,2016,M08,2016 Aug,4295
LNS13000060,2016,M09,2016 Sep,4483
LNS13000060,2016,M10,2016 Oct,4293
LNS13000060,2016,M11,2016 Nov,4121
LNS13000060,2016,M12,2016 Dec,4123
LNS13000060,2017,M01,2017 Jan,4158
LNS13000060,2017,M02,2017 Feb,4102
LNS13000060,2017,M03,2017 Mar,3946
LNS13000060,2017,M04,2017 Apr,3930
LNS13000060,2017,M05,2017 May,4017
LNS13000060,2017,M06,2017 Jun,3849
LNS13000060,2017,M07,2017 Jul,3889
LNS13000060,2017,M08,2017 Aug,3969
LNS13000060,2017,M09,2017 Sep,3708
LNS13000060,2017,M10,2017 Oct,3529
LNS13000060,2017,M11,2017 Nov,3515
LNS13000060,2017,M12,2017 Dec,3508
LNS13000060,2018,M01,2018 Jan,3579
LNS13000060,2018,M02,2018 Feb,3577
LNS13000060,2018,M03,2018 Mar,3518
LNS13000060,2018,M04,2018 Apr,3542
LNS13000060,2018,M05,2018 May,3314
LNS13000060,2018,M06,2018 Jun,3470
LNS13000060,2018,M07,2018 Jul,3259
LNS13000060,2018,M08,2018 Aug,3285
LNS13000060,2018,M09,2018 Sep,3194
LNS13000060,2018,M10,2018 Oct,3299
LNS13000060,2018,M11,2018 Nov,3228
LNS13000060,2018,M12,2018 Dec,3365
LNS13000060,2019,M01,2019 Jan,3418
LNS13000060,2019,M02,2019 Feb,3310
LNS13000060,2019,M03,2019 Mar,3349
LNS13000060,2019,M04,2019 Apr,3156
LNS13000060,2019,M05,2019 May,3055
LNS13000060,2019,M06,2019 Jun,3150
LNS13000060,2019,M07,2019 Jul,3220
LNS13000060,2019,M08,2019 Aug,3184
LNS13000060,2019,M09,2019 Sep,3126
LNS13000060,2019,M10,2019 Oct,3157
LNS13000060,2019,M11,2019 Nov,3110
LNS13000060,2019,M12,2019 Dec,3133
LNS13000060,2020,M01,2020 Jan,3154
LNS13000060,2020,M02,2020 Feb,3152
LNS13000060,2020,M03,2020 Mar,3725
LNS13000060Q,2010,Q01,2010 Qtr1,9075
LNS13000060Q,2010,Q02,2010 Qtr2,8904
LNS13000060Q,2010,Q03,2010 Qtr3,8684
LNS13000060Q,2010,Q04,2010 Qtr4,8702
LNS13000060Q,2011,Q01,2011 Qtr1,8095
LNS13000060Q,2011,Q02,2011 Qtr2,8270
LNS13000060Q,2011,Q03,2011 Qtr3,8132
LNS13000060Q,2011,Q04,2011 Qtr4,7770
LNS13000060Q,2012,Q01,2012 Qtr1,7366
LNS13000060Q,2012,Q02,2012 Qtr2,7178
LNS13000060Q,2012,Q03,2012 Qtr3,7051
LNS13000060Q,2012,Q04,2012 Qtr4,6787
LNS13000060Q,2013,Q01,2013 Qtr1,6599
LNS13000060Q,2013,Q02,2013 Qtr2,6475
LNS13000060Q,2013,Q03,2013 Qtr3,6295
LNS13000060Q,2013,Q04,2013 Qtr4,6081
LNS13000060Q,2014,Q01,2014 Qtr1,5721
LNS13000060Q,2014,Q02,2014 Qtr2,5327
LNS13000060Q,2014,Q03,2014 Qtr3,5151
LNS13000060Q,2014,Q04,2014 Qtr4,4845
LNS13000060Q,2015,Q01,2015 Qtr1,4691
